year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,4,ND,Final,63152,854579,9116,7.39,41647,30.2,33.0,-100.469321077,47.446338517
2022,4,NE,Final,71882,1036398,66104,6.94,41640,42.2,41.7,-99.8108090713,41.5271489603
2022,4,NH,Final,21553,152625,3186,14.12,41642,37.3,34.8,-71.5775941473,43.6856317461
2022,4,NJ,Final,61425,522908,11476,11.75,41643,47.5,44.3,-74.6607541123,40.1844273633
2022,4,NM,Final,57378,889782,9294,6.45,41644,49.9,47.4,-106.108388616,34.4213707591
2022,4,NV,Final,69723,996508,3486,7.0,41641,45.3,43.1,-116.65522549,39.3562373462
2022,4,NY,Final,95728,1370738,7483,6.98,41645,38.8,36.7,-75.5031182762,42.9403901101
2022,4,OH,Final,285549,3981110,19040,7.17,41648,46.0,43.9,-82.7900611953,40.291452206
2022,4,OK,Final,105602,1819144,19998,5.81,41649,55.7,54.4,-97.5082927121,35.5834856477
2022,4,OR,Final,100621,1488795,26745,6.76,41650,41.0,41.1,-120.555413394,43.9366481606
2022,4,PA,Final,314674,4151866,14716,7.58,41651,43.2,41.4,-77.7995595623,40.8738378455
2022,4,RI,Final,9149,56038,1644,16.33,41652,44.6,40.9,-71.5536120535,41.6760813901
2022,4,SC,Final,130498,2178329,3627,5.99,41653,60.0,57.8,-80.8961396866,33.9079742468
2022,4,SD,Final,20438,259111,4226,7.89,41654,36.4,37.7,-100.230507516,44.4361607025
2022,4,TN,Final,111708,1870832,1033,5.97,41655,54.2,53.1,-86.3433803654,35.8429870949
2022,4,TX,Final,796415,11805640,315068,6.75,41656,62.8,60.5,-99.3506971451,31.4844643819
2022,4,UT,Final,46776,715621,10361,6.54,41657,43.2,41.4,-111.678216374,39.3237947509
2022,4,VA,Final,100649,1384926,3634,7.27,41659,52.1,49.3,-78.8122544727,37.5150238913
2022,4,VT,Final,12548,109432,253,11.47,41658,35.9,33.5,-72.6626493581,44.0751958252
2022,4,WA,Final,110106,1808478,26432,6.09,41660,41.0,41.8,-120.446866425,47.3809688818
2022,4,WI,Final,145453,1847664,5588,7.87,41662,34.2,35.5,-90.0116942643,44.6380301915
2022,4,WV,Final,76509,1197441,11258,6.39,41661,47.7,46.0,-80.6137119661,38.6425987436
2022,4,WY,Final,54368,818021,11780,6.65,41663,34.0,34.0,-107.551454075,42.999642032
2022,3,AL,Final,159254,2579329,7203,6.17,41568,53.9,51.6,-86.8283719359,32.7898321918
2022,3,AR,Final,87358,1390643,30317,6.28,41570,47.0,47.1,-92.4392676639,34.8997453322
2022,3,AZ,Final,77100,1175189,7857,6.56,41569,48.0,47.1,-111.664418336,34.2931098705
2022,3,CA,Final,576136,3854632,155738,14.95,41571,50.7,47.1,-119.610698951,37.2460706736
2022,3,CO,Final,97799,1202559,15103,8.13,41572,30.0,30.6,-105.547824721,38.9985518194
2022,3,CT,Final,33007,228839,3977,14.42,41573,34.7,30.9,-72.7257060428,41.6202863352
2022,3,DE,Final,12655,166625,878,7.59,41574,42.8,38.5,-75.4004040929,38.8870164548
2022,3,FL,Final,134726,1563152,23175,8.62,41575,65.8,61.8,-81.7974638723,28.6284392647
2022,3,GA,Final,172911,2757812,23846,6.27,41576,55.8,52.0,-83.4463418309,32.6492290722
2022,3,IA,Final,129113,2270707,9174,5.69,41580,29.2,28.7,-93.5000649605,42.0746268788
2022,3,ID,Final,33183,591699,28818,5.61,41577,30.4,29.6,-114.659382348,44.0890895052
2022,3,IL,Final,283929,3539718,5488,8.02,41578,35.4,34.5,-89.1983967614,40.0650409125
2022,3,IN,Final,274588,3591907,19689,7.64,41579,36.8,34.5,-86.2756397346,39.9081412284
2022,3,KS,Final,72229,954258,23845,7.57,41581,37.9,38.0,-98.3802131736,38.4847081514
2022,3,KY,Final,156248,2600760,5444,6.01,41582,43.8,41.0,-85.2904560935,37.5266674638
2022,3,LA,Final,185225,2976322,20471,6.22,41583,55.2,55.7,-92.5856620163,31.0584069584
2022,3,MA,Final,84622,523907,10625,16.15,41586,34.0,29.7,-71.7986394244,42.2533023991
2022,3,MD,Final,26192,300451,9154,8.72,41585,42.4,38.1,-76.7724546076,39.0369222963
2022,3,ME,Final,27405,243116,2161,11.27,41584,24.1,20.4,-69.2266474552,45.3714334913
2022,3,MI,Final,184033,2354675,5636,7.82,41587,25.2,24.0,-85.4371669561,44.3506813109
2022,3,MN,Final,151904,1745787,8890,8.7,41588,16.3,18.7,-94.3090126515,46.3163329315
2022,3,MO,Final,75571,1121791,9941,6.74,41590,39.3,38.7,-92.4774101578,38.3676131565
2022,3,MS,Final,79926,1312630,11044,6.09,41589,53.3,52.0,-89.6652136847,32.750866634
2022,3,MT,Final,19786,363124,9904,5.45,41591,28.0,25.4,-109.645148622,47.0335364218
2022,3,NC,Final,148711,2244114,9245,6.63,41598,49.7,45.6,-79.3723797543,35.5415341226
2022,3,ND,Final,72342,1007443,9055,7.18,41599,18.2,18.4,-100.469321077,47.446338517
2022,3,NE,Final,70394,1026739,59558,6.86,41592,32.4,31.3,-99.8108090713,41.5271489603
2022,3,NH,Final,23252,155660,3188,14.94,41594,27.8,23.7,-71.5775941473,43.6856317461
